name,main_category,ratings,no_of_ratings,discount_price,text_for_embedding
Floxum V-Neck Button Cardigan Babylock Full Sleeves Ribbed Top,apparel_womens,3.3,3,479.0,apparel_womens:Floxum V-Neck Button Cardigan Babylock Full Sleeves Ribbed Top
Amante Every de Carefree Confidence T-Shirt Bra,apparel_womens,3.8,85,369.0,apparel_womens:Amante Every de Carefree Confidence T-Shirt Bra
ANNI DESIGNER Women's Cotton Blend Straight Printed Kurta with Pant (Funnu Blue New),apparel_womens,3.8,386,419.0,apparel_womens:ANNI DESIGNER Women's Cotton Blend Straight Printed Kurta with Pant (Funnu Blue New)
Vorcia Febtex Combo of 2 Feeding Kurti | Kurtis | 3/4th Sleeves Kurti | Rayon Kurti | Maternity wear | Women Kurti,apparel_womens,4.5,3,799.0,apparel_womens:Vorcia Febtex Combo of 2 Feeding Kurti | Kurtis | 3/4th Sleeves Kurti | Rayon Kurti | Maternity wear | Women Kurti
JAIPUR HAND BLOCK Womens Cotton Long White Holi Kurta,apparel_womens,5.0,1,499.0,apparel_womens:JAIPUR HAND BLOCK Womens Cotton Long White Holi Kurta
TOPLOT Sleeveless Black Top for Women,apparel_womens,4.0,19,399.0,apparel_womens:TOPLOT Sleeveless Black Top for Women
Clovia Women's Cotton Rich Non-Padded Non-Wired Bra with Double Layered Cups,apparel_womens,3.7,2405,259.0,apparel_womens:Clovia Women's Cotton Rich Non-Padded Non-Wired Bra with Double Layered Cups
Amazon Brand - Myx Women's Cotton Kurta,apparel_womens,4.0,811,282.0,apparel_womens:Amazon Brand - Myx Women's Cotton Kurta
Calendar Women's Plain Weave Georgette Printed Silk Saree With Unstitched Blouse Piece,apparel_womens,3.4,206,795.0,apparel_womens:Calendar Women's Plain Weave Georgette Printed Silk Saree With Unstitched Blouse Piece
Lovable Women's Cotton Brief (Pack of 3)(Colors May Vary),apparel_womens,3.8,261,660.0,apparel_womens:Lovable Women's Cotton Brief (Pack of 3)(Colors May Vary)
GLARE & BLAIR Ribbed Sleeveless Tank Bodycon Mini Cami Dress for Women,apparel_womens,4.2,14,489.0,apparel_womens:GLARE & BLAIR Ribbed Sleeveless Tank Bodycon Mini Cami Dress for Women
MORE N MORE TRENDZ Embroidered Banarasi With Diamond Work Organza Saree,apparel_womens,5.0,3,1690.0,apparel_womens:MORE N MORE TRENDZ Embroidered Banarasi With Diamond Work Organza Saree
"Zivame Women's Synthetic Non Padded Wire Free T-Shirt, Molded Bra",apparel_womens,4.1,1021,314.0,"apparel_womens:Zivame Women's Synthetic Non Padded Wire Free T-Shirt, Molded Bra"
"Miraan Cotton Printed Readymade Salwar Suit For Women(BANDCOLOR805, Grey)",apparel_womens,3.7,188,845.0,"apparel_womens:Miraan Cotton Printed Readymade Salwar Suit For Women(BANDCOLOR805, Grey)"
S.K. Textiles Women's Satin Petticoat (SKT19_White_Medium) (41-45 inches waist),apparel_womens,3.7,48,285.0,apparel_womens:S.K. Textiles Women's Satin Petticoat (SKT19_White_Medium) (41-45 inches waist)
OM SAI LATEST CREATION Women's Cotton Polyester Blended Regular Fit Solid Top | Casual 1/3 Sleeve Tops for Girls,apparel_womens,4.5,2,239.0,apparel_womens:OM SAI LATEST CREATION Women's Cotton Polyester Blended Regular Fit Solid Top | Casual 1/3 Sleeve Tops for Girls
Puma Women Cap,apparel_womens,4.0,1,519.0,apparel_womens:Puma Women Cap
AKHILAM Women's Organza Woven Design Saree With Unstitched Blouse Piece (KANCHI3001_Parent),apparel_womens,4.1,6,1129.0,apparel_womens:AKHILAM Women's Organza Woven Design Saree With Unstitched Blouse Piece (KANCHI3001_Parent)
AISLIN® UV Protected Oval Sunglasses for Women,apparel_womens,4.1,416,598.0,apparel_womens:AISLIN® UV Protected Oval Sunglasses for Women
Janasya Women's Gold Poly Silk Solid Kurta with Pant and Dupatta,apparel_womens,3.9,1120,849.0,apparel_womens:Janasya Women's Gold Poly Silk Solid Kurta with Pant and Dupatta
ANNI DESIGNER Women's Cotton Straight Printed Kurta with Pant & Dupatta (SHIPRA Light GREEN-Jan01),apparel_womens,3.5,13,499.0,apparel_womens:ANNI DESIGNER Women's Cotton Straight Printed Kurta with Pant & Dupatta (SHIPRA Light GREEN-Jan01)
cotton MalMal Saree hand block red colour,apparel_womens,3.5,2,773.0,apparel_womens:cotton MalMal Saree hand block red colour
Fashion & Heritage - Delivering Ethnicity Women's Solid Cotton Pichoda (SBSC_FHCD_PRI_VERI_066_Red_Free Size),apparel_womens,4.0,4,679.0,apparel_womens:Fashion & Heritage - Delivering Ethnicity Women's Solid Cotton Pichoda (SBSC_FHCD_PRI_VERI_066_Red_Free Size)
"Urban_Made Women Summer Wide Brim Straw Hat with Long Ribbon, Fedora Sun Hat for Girls & Women",apparel_womens,5.0,1,425.0,"apparel_womens:Urban_Made Women Summer Wide Brim Straw Hat with Long Ribbon, Fedora Sun Hat for Girls & Women"
"Dream Beauty Fashion Women's Full Sleeve Round Neck Printed Fitted Tee - 23"" Inches (Jiya-Top)",apparel_womens,5.0,1,429.0,"apparel_womens:Dream Beauty Fashion Women's Full Sleeve Round Neck Printed Fitted Tee - 23"" Inches (Jiya-Top)"
Royal Export Women's Straight Floral Printed Kurta Pant & Dupatta,apparel_womens,4.7,16,799.0,apparel_womens:Royal Export Women's Straight Floral Printed Kurta Pant & Dupatta
BIBA Printed Cotton Round Neck Womens Salwar Kurta Dupatta Sets,apparel_womens,2.4,7,1259.0,apparel_womens:BIBA Printed Cotton Round Neck Womens Salwar Kurta Dupatta Sets
Ada Women's Cotton Straight Top Tunic Lucknowi Hand Embroidered Chikankari Short Kurti A100131 Black,apparel_womens,4.1,124,948.0,apparel_womens:Ada Women's Cotton Straight Top Tunic Lucknowi Hand Embroidered Chikankari Short Kurti A100131 Black
AKADO Seamless Thongs for Women Breathable Low Rise Panties Invisible Hipster Underwear Thong No Show Multicolor Free Size...,apparel_womens,1.0,1,365.0,apparel_womens:AKADO Seamless Thongs for Women Breathable Low Rise Panties Invisible Hipster Underwear Thong No Show Multicolor Free Size...
CINOON Women Sexy Cotton 2 Piece Bra and Panties Lingerie Set for Honeymoon | Anniversary | Everyday Bra Panty Combo,apparel_womens,5.0,4,449.0,apparel_womens:CINOON Women Sexy Cotton 2 Piece Bra and Panties Lingerie Set for Honeymoon | Anniversary | Everyday Bra Panty Combo
eS³kube Facial Make-Up Face Wash Velvet Strip Headband Yoga Sports Adjustable Elastic Hair Band For Girls & Women Beauty T...,apparel_womens,4.2,235,170.0,apparel_womens:eS³kube Facial Make-Up Face Wash Velvet Strip Headband Yoga Sports Adjustable Elastic Hair Band For Girls & Women Beauty T...
Clovia Women's Cotton High Waist Hipster with Lace & Powernet,apparel_womens,3.8,51,184.0,apparel_womens:Clovia Women's Cotton High Waist Hipster with Lace & Powernet
Van Heusen Women Casual Shorts,apparel_womens,4.2,26,636.0,apparel_womens:Van Heusen Women Casual Shorts
KG Best Collection Women Cotton Shawl Collar Pocket Shrug,apparel_womens,3.4,45,299.0,apparel_womens:KG Best Collection Women Cotton Shawl Collar Pocket Shrug
DIAMO Women Rajasthani Traditional Silk bandhej dupatta for Women/Girls,apparel_womens,5.0,2,301.0,apparel_womens:DIAMO Women Rajasthani Traditional Silk bandhej dupatta for Women/Girls
Indietoga Women's Floral Printed Long Fit and Flare Maxi Dresses (Small to Plus Sizes 10XL),apparel_womens,3.6,275,662.0,apparel_womens:Indietoga Women's Floral Printed Long Fit and Flare Maxi Dresses (Small to Plus Sizes 10XL)
Satrani Women's Dupatta,apparel_womens,3.9,388,269.0,apparel_womens:Satrani Women's Dupatta
Besick Main Character Energy Oversized fit Drop Shoulders Minimal Printed Tshirts for Men Women,apparel_womens,5.0,2,569.0,apparel_womens:Besick Main Character Energy Oversized fit Drop Shoulders Minimal Printed Tshirts for Men Women
Miss Chase Women's Black Regular Length Mid Rise Clean Look Regular Fit Denim Joggers,apparel_womens,3.7,181,799.0,apparel_womens:Miss Chase Women's Black Regular Length Mid Rise Clean Look Regular Fit Denim Joggers
"Dream Beauty Fashion Women's High Waist Bell Bottom Trouser, Elastic Flared Bootcut Pants, Stretchy Parallel Leg for Casua...",apparel_womens,3.6,151,379.0,"apparel_womens:Dream Beauty Fashion Women's High Waist Bell Bottom Trouser, Elastic Flared Bootcut Pants, Stretchy Parallel Leg for Casua..."
Xeonex Women Babydoll Lingerie Set for Honeymoon for Woman Thongs | Sexy Night Dress Above Knee Baby Doll Night Dress | Tr...,apparel_womens,1.4,3,109.0,apparel_womens:Xeonex Women Babydoll Lingerie Set for Honeymoon for Woman Thongs | Sexy Night Dress Above Knee Baby Doll Night Dress | Tr...
BAILEY SELLS Women's Hosiery Cotton Nighty Solid Midi Slip Nightgown Sleeveless Maxi Nightdress Sleepwear Camisole Chemise...,apparel_womens,1.0,1,499.0,apparel_womens:BAILEY SELLS Women's Hosiery Cotton Nighty Solid Midi Slip Nightgown Sleeveless Maxi Nightdress Sleepwear Camisole Chemise...
Levi's Women T-Shirt,apparel_womens,4.3,150,484.0,apparel_womens:Levi's Women T-Shirt
Phenomenal Oval Sunglasses For women Brown,apparel_womens,1.0,3,199.0,apparel_womens:Phenomenal Oval Sunglasses For women Brown
Aadvi Enterprise Straight fit jeans for Women's|High Waist Regular Fit Boyfriend Jeans for Girl's|Mom fit Jeans for ladies,apparel_womens,5.0,3,644.0,apparel_womens:Aadvi Enterprise Straight fit jeans for Women's|High Waist Regular Fit Boyfriend Jeans for Girl's|Mom fit Jeans for ladies
Lux Cottswool Women's Thermal Top and Lower Set,apparel_womens,4.1,143,874.0,apparel_womens:Lux Cottswool Women's Thermal Top and Lower Set
Samajh Women's Pure Cotton Chikankari Embroidery Work Straight Calf Length Kurti,apparel_womens,3.7,46,849.0,apparel_womens:Samajh Women's Pure Cotton Chikankari Embroidery Work Straight Calf Length Kurti
MANSORY ENTERPRISE Women’s Unstitched Khadi Fabric Salwar Suit Dress Material With Bandhani Silk Dupatta Set,apparel_womens,3.1,7,790.0,apparel_womens:MANSORY ENTERPRISE Women’s Unstitched Khadi Fabric Salwar Suit Dress Material With Bandhani Silk Dupatta Set
RADHA LAKSHMI Women's Kanjivaram Banarasi Soft Silk Saree With Blouse piece(AG Visa),apparel_womens,1.0,2,949.0,apparel_womens:RADHA LAKSHMI Women's Kanjivaram Banarasi Soft Silk Saree With Blouse piece(AG Visa)
AJ FASHIONS Women's Cotton Tummy Control Panties (Pack of 3),apparel_womens,3.3,1290,298.0,apparel_womens:AJ FASHIONS Women's Cotton Tummy Control Panties (Pack of 3)
Red Chief Leather Casual Shoes for Men (RC3733),footwear_mens,3.4,3,2249.0,footwear_mens:Red Chief Leather Casual Shoes for Men (RC3733)
Bond Street by (Red Tape) Mens Moccasins,footwear_mens,2.4,8,1890.0,footwear_mens:Bond Street by (Red Tape) Mens Moccasins
Shoefly mens Grey New_(s)-1215 Sneaker,footwear_mens,3.5,8,378.0,footwear_mens:Shoefly mens Grey New_(s)-1215 Sneaker
Bacca Bucci Men's Nirvana Low Top Flat Sole Casual Sneakers for Men,footwear_mens,3.6,44,1398.0,footwear_mens:Bacca Bucci Men's Nirvana Low Top Flat Sole Casual Sneakers for Men
KNOOS Men's Synthetic Leather Brown Loafers (BOB1010-BR),footwear_mens,2.8,21,499.0,footwear_mens:KNOOS Men's Synthetic Leather Brown Loafers (BOB1010-BR)
Casual & Daily Use Bellies,footwear_mens,5.0,2,349.0,footwear_mens:Casual & Daily Use Bellies
Centrino Mens 6002-02 Sneaker,footwear_mens,3.2,83,909.0,footwear_mens:Centrino Mens 6002-02 Sneaker
generic men women hidden loafer casual socks for shoes 6 pcs,footwear_mens,3.2,2,257.0,footwear_mens:generic men women hidden loafer casual socks for shoes 6 pcs
"SPENO Men's Black Synthetic Loafers for Men, 10 UK (ANIL-015-BLACK-10)",footwear_mens,3.9,6,299.0,"footwear_mens:SPENO Men's Black Synthetic Loafers for Men, 10 UK (ANIL-015-BLACK-10)"
Reebok Men's Club C 85 Tennis Shoes,footwear_mens,4.6,1336,4129.0,footwear_mens:Reebok Men's Club C 85 Tennis Shoes
2N2 Men's Casual Loafers Shoes,footwear_mens,2.0,1,449.0,footwear_mens:2N2 Men's Casual Loafers Shoes
WORLD WEAR FOOTWEAR Women's Combo Pack of 2 Collection Casual Loafer Sneakers Shoes (Multicolour),footwear_mens,5.0,1,569.0,footwear_mens:WORLD WEAR FOOTWEAR Women's Combo Pack of 2 Collection Casual Loafer Sneakers Shoes (Multicolour)
Centrino Men 1129 Sneakers,footwear_mens,3.3,228,449.0,footwear_mens:Centrino Men 1129 Sneakers
Woodland Men's Gb 3066118gpt Ankle Boot,footwear_mens,5.0,2,3156.0,footwear_mens:Woodland Men's Gb 3066118gpt Ankle Boot
Puma Men Sneakers,footwear_mens,3.6,106,1886.0,footwear_mens:Puma Men Sneakers
Red Chief Leather with Lace Casual Shoes for Men RC3431,footwear_mens,3.5,695,2254.0,footwear_mens:Red Chief Leather with Lace Casual Shoes for Men RC3431
Delize Men's Black/tan/grey Derby Boots,footwear_mens,3.0,1,4599.0,footwear_mens:Delize Men's Black/tan/grey Derby Boots
GULASS WICK Men's Synthetic Lace Up Casual Shoes (Tan),footwear_mens,3.3,9,584.0,footwear_mens:GULASS WICK Men's Synthetic Lace Up Casual Shoes (Tan)
MUTAQINOTI Men's Tan Classic Italian Leather Loafer Casual Formal Slip On Shoes,footwear_mens,5.0,1,1499.0,footwear_mens:MUTAQINOTI Men's Tan Classic Italian Leather Loafer Casual Formal Slip On Shoes
Puma Unisex-Adult Prevail Ir Reality Blue Turquoise-whispe Sneakers,footwear_mens,5.0,3,3926.0,footwear_mens:Puma Unisex-Adult Prevail Ir Reality Blue Turquoise-whispe Sneakers
TARQ Casual Sneakers Stylish Fancy and Comfort Shoes for Men,footwear_mens,2.9,79,449.0,footwear_mens:TARQ Casual Sneakers Stylish Fancy and Comfort Shoes for Men
Pro by Khadim's Men's Black Running Sports Shoes,footwear_mens,3.8,18,720.0,footwear_mens:Pro by Khadim's Men's Black Running Sports Shoes
DIGITUS CRUCIS Men's Running Sports Gym Lightweight Sneakers White Shoes,footwear_mens,5.0,1,349.0,footwear_mens:DIGITUS CRUCIS Men's Running Sports Gym Lightweight Sneakers White Shoes
BUCIK Synthetic Leather Lace-Up Casual/Walking/Sneakers for Men,footwear_mens,5.0,4,764.0,footwear_mens:BUCIK Synthetic Leather Lace-Up Casual/Walking/Sneakers for Men
Men's Black Lofer Shoes,footwear_mens,5.0,2,430.0,footwear_mens:Men's Black Lofer Shoes
Woodland Mens Gc 2509117 Sneaker,footwear_mens,3.9,172,2596.0,footwear_mens:Woodland Mens Gc 2509117 Sneaker
tresmode Casual Leather Loafer for Men,footwear_mens,5.0,3,3200.0,footwear_mens:tresmode Casual Leather Loafer for Men
Fila Mens SOLIEVE Casual Shoes,footwear_mens,1.0,1,1999.0,footwear_mens:Fila Mens SOLIEVE Casual Shoes
"Zenwear Multicolor Casual Loafers, Sneakers Shoes for Men Pack of 2",footwear_mens,3.0,60,549.0,"footwear_mens:Zenwear Multicolor Casual Loafers, Sneakers Shoes for Men Pack of 2"
Liberty Mens Bumper Sneaker,footwear_mens,3.8,51,467.0,footwear_mens:Liberty Mens Bumper Sneaker
Liberty Men JOHL-202 Formal Shoes,footwear_mens,1.0,2,3039.0,footwear_mens:Liberty Men JOHL-202 Formal Shoes
Sparx Men's Running Shoes,footwear_mens,4.2,4807,1299.0,footwear_mens:Sparx Men's Running Shoes
LOUIS STITCH Men's Handmade Tortilla Brown Genuine Leather Moccasins Loafers for Men,footwear_mens,5.0,1,1569.0,footwear_mens:LOUIS STITCH Men's Handmade Tortilla Brown Genuine Leather Moccasins Loafers for Men
Shoefly Men's Trendy & Stylish Sports Sneakers Shoes,footwear_mens,3.1,8,299.0,footwear_mens:Shoefly Men's Trendy & Stylish Sports Sneakers Shoes
Skechers Mens Bobs Sparrow 2.0 Sneaker,footwear_mens,5.0,1,3460.0,footwear_mens:Skechers Mens Bobs Sparrow 2.0 Sneaker
KNOOS Genuine Leatherformal shoes-S7-7704,footwear_mens,5.0,1,999.0,footwear_mens:KNOOS Genuine Leatherformal shoes-S7-7704
Centrino Mens 1151 Sneakers,footwear_mens,3.5,200,799.0,footwear_mens:Centrino Mens 1151 Sneakers
VELOUR INDIA Zardozi Hand Embroidery Navy Blue Velvet Loafers Handmade Casual Shoes for Men,footwear_mens,3.0,1,1299.0,footwear_mens:VELOUR INDIA Zardozi Hand Embroidery Navy Blue Velvet Loafers Handmade Casual Shoes for Men
Centrino Mens 6017-01 Sneaker,footwear_mens,2.6,30,1079.0,footwear_mens:Centrino Mens 6017-01 Sneaker
Puma Unisex-Adult Electron 2.0 Walking Shoe,footwear_mens,4.4,3,4199.0,footwear_mens:Puma Unisex-Adult Electron 2.0 Walking Shoe
GULASS WICK Men Synthetic Lace Up Casual Shoes and Loafers Shoes (Black),footwear_mens,1.4,4,584.0,footwear_mens:GULASS WICK Men Synthetic Lace Up Casual Shoes and Loafers Shoes (Black)
LOUIS STITCH Men's Federal Blue Italian Suede Leather Loafer Tassel Penny Casual Loafers for Men (Prague SUTA) - 10 UK,footwear_mens,5.0,2,1699.0,footwear_mens:LOUIS STITCH Men's Federal Blue Italian Suede Leather Loafer Tassel Penny Casual Loafers for Men (Prague SUTA) - 10 UK
Puma Men's Cabimas Idp Sneakers,footwear_mens,3.8,86,2799.0,footwear_mens:Puma Men's Cabimas Idp Sneakers
Axter Men's Sports Sneakers Shoes,footwear_mens,3.0,2,349.0,footwear_mens:Axter Men's Sports Sneakers Shoes
Men's Elevator Height Increasing Brouge Casual Ankel Boots,footwear_mens,2.8,11,1799.0,footwear_mens:Men's Elevator Height Increasing Brouge Casual Ankel Boots
MAX Men Canvas Shoes (SU21MFCS1075GREY_GREY_41),footwear_mens,5.0,1,482.09,footwear_mens:MAX Men Canvas Shoes (SU21MFCS1075GREY_GREY_41)
Bond Street by (Red Tape) Mens Moccasins,footwear_mens,2.1,78,841.0,footwear_mens:Bond Street by (Red Tape) Mens Moccasins
"Bikers Boots : High Ankle Leather Boots for Men, Trekking, Hiking, Driving with High Performance Rubber Sole. Sizes 5 to 1...",footwear_mens,5.0,1,3500.0,"footwear_mens:Bikers Boots : High Ankle Leather Boots for Men, Trekking, Hiking, Driving with High Performance Rubber Sole. Sizes 5 to 1..."
Amico Men's Fashion Sandals White,footwear_mens,3.3,7,499.0,footwear_mens:Amico Men's Fashion Sandals White
Bourge Mens Magic-z9 Sneakers,footwear_mens,3.7,118,459.0,footwear_mens:Bourge Mens Magic-z9 Sneakers
Floxum V-Neck Button Cardigan Babylock Full Sleeves Ribbed Top,apparel_womens,3.3,3,479.0,apparel_womens:Floxum V-Neck Button Cardigan Babylock Full Sleeves Ribbed Top
Amante Every de Carefree Confidence T-Shirt Bra,apparel_womens,3.8,85,369.0,apparel_womens:Amante Every de Carefree Confidence T-Shirt Bra
ANNI DESIGNER Women's Cotton Blend Straight Printed Kurta with Pant (Funnu Blue New),apparel_womens,3.8,386,419.0,apparel_womens:ANNI DESIGNER Women's Cotton Blend Straight Printed Kurta with Pant (Funnu Blue New)
Vorcia Febtex Combo of 2 Feeding Kurti | Kurtis | 3/4th Sleeves Kurti | Rayon Kurti | Maternity wear | Women Kurti,apparel_womens,4.5,3,799.0,apparel_womens:Vorcia Febtex Combo of 2 Feeding Kurti | Kurtis | 3/4th Sleeves Kurti | Rayon Kurti | Maternity wear | Women Kurti
JAIPUR HAND BLOCK Womens Cotton Long White Holi Kurta,apparel_womens,5.0,1,499.0,apparel_womens:JAIPUR HAND BLOCK Womens Cotton Long White Holi Kurta
TOPLOT Sleeveless Black Top for Women,apparel_womens,4.0,19,399.0,apparel_womens:TOPLOT Sleeveless Black Top for Women
Clovia Women's Cotton Rich Non-Padded Non-Wired Bra with Double Layered Cups,apparel_womens,3.7,2405,259.0,apparel_womens:Clovia Women's Cotton Rich Non-Padded Non-Wired Bra with Double Layered Cups
Amazon Brand - Myx Women's Cotton Kurta,apparel_womens,4.0,811,282.0,apparel_womens:Amazon Brand - Myx Women's Cotton Kurta
Calendar Women's Plain Weave Georgette Printed Silk Saree With Unstitched Blouse Piece,apparel_womens,3.4,206,795.0,apparel_womens:Calendar Women's Plain Weave Georgette Printed Silk Saree With Unstitched Blouse Piece
Lovable Women's Cotton Brief (Pack of 3)(Colors May Vary),apparel_womens,3.8,261,660.0,apparel_womens:Lovable Women's Cotton Brief (Pack of 3)(Colors May Vary)
